Round,Date,TeamA,TeamB,OddsA,OddsDraw,OddsB
1,2024-06-14,Germany,Scotland,1/4,9/2,10/1
1,2024-06-15,Hungary,Switzerland,11/4,2/1,11/10
1,2024-06-15,Spain,Croatia,10/11,12/5,3/1
1,2024-06-15,Italy,Albania,1/3,18/5,9/1
1,2024-06-16,Slovenia,Denmark,9/2,5/2,4/6
1,2024-06-16,Serbia,England,11/2,16/5,1/2
1,2024-06-16,Poland,Netherlands,11/2,16/5,1/2
1,2024-06-17,Austria,France,27/5,15/4,5/9
1,2024-06-17,Romania,Ukraine,16/5,5/2,1/1
1,2024-06-17,Belgium,Slovakia,1/2,4/1,6/1
1,2024-06-18,Turkey,Georgia,3/4,14/5,23/5
1,2024-06-18,Portugal,Czech Republic,8/15,18/5,11/2
2,2024-06-19,Germany,Hungary,2/7,5/1,8/1
2,2024-06-19,Scotland,Switzerland,10/3,23/10,17/20
2,2024-06-19,Croatia,Albania,4/9,10/3,6/1
2,2024-06-20,Spain,Italy,6/5,21/10,12/5
2,2024-06-20,Slovenia,Serbia,19/5,13/5,3/4
2,2024-06-20,Denmark,England,9/2,13/5,4/6
2,2024-06-21,Poland,Austria,11/4,23/10,1/1
2,2024-06-21,Netherlands,France,11/5,11/5,5/4
2,2024-06-21,Slovakia,Ukraine,11/5,9/4,5/4
2,2024-06-22,Belgium,Romania,4/9,16/5,5/1
2,2024-06-22,Georgia,Czech Republic,4/1,3/1,4/5
2,2024-06-22,Turkey,Portugal,17/4,3/1,8/13
3,2024-06-23,Germany,Switzerland,1/2,11/2,3/1
3,2024-06-23,Scotland,Hungary,29/20,27/10,8/5
3,2024-06-24,Albania,Spain,13/2,7/2,2/5
3,2024-06-24,Croatia,Italy,2/1,2/1,6/4
3,2024-06-25,England,Slovenia,3/10,17/4,9/1
3,2024-06-25,Denmark,Serbia,5/4,11/5,11/5
3,2024-06-25,Netherlands,Austria,4/5,9/4,7/2
3,2024-06-25,France,Poland,1/4,19/4,10/1
3,2024-06-26,Slovakia,Romania,9/5,11/10,3/1
3,2024-06-26,Ukraine,Belgium,9/2,3/1,4/7
3,2024-06-26,Georgia,Portugal,15/2,4/1,7/20
3,2024-06-26,Czech Republic,Turkey,13/8,11/5,17/10
4,2024-06-29,Switzerland,Italy,11/5,9/5,6/4
4,2024-06-29,Germany,Denmark,8/13,29/10,17/4
4,2024-06-30,England,Slovakia,2/5,16/5,15/2
4,2024-06-30,Spain,Georgia,1/5,11/2,12/1
4,2024-07-01,France,Belgium,19/20,9/4,16/5
4,2024-07-01,Portugal,Slovenia,7/20,19/5,12/2
4,2024-07-02,Romania,Netherlands,6/1,7/2,4/9
4,2024-07-02,Austria,Turkey,10/11,23/10,16/5
5,2024-07-05,Spain,Germany,8/5,2/1,9/5
5,2024-07-05,Portugal,France,11/5,2/1,7/5
5,2024-07-06,Netherlands,Turkey,1/2,14/5,5/1
5,2024-07-06,England,Switzerland,6/5,19/10,14/5
6,2024-07-09,Spain,France,8/5,7/4,2/1
6,2024-07-10,Netherlands,England,21/10,9/5,8/5
7,2024-07-14,Spain,England,29/20,9/5,12/5
