Simulation,Winner
0,Netherlands
1,Spain
2,Germany
3,France
4,Germany
5,Netherlands
6,Germany
7,France
8,France
9,France
10,Germany
11,England
12,France
13,Germany
14,France
15,France
16,Spain
17,England
18,Italy
19,Netherlands
20,England
21,France
22,Netherlands
23,France
24,Netherlands
25,France
26,Germany
27,Germany
28,Netherlands
29,Netherlands
30,Netherlands
31,England
32,Netherlands
33,Italy
34,England
35,France
36,Italy
37,Italy
38,Germany
39,Croatia
40,Spain
41,France
42,England
43,France
44,England
45,Germany
46,Croatia
47,France
48,Germany
49,France
50,Netherlands
51,Spain
52,Netherlands
53,France
54,Netherlands
55,Croatia
56,Germany
57,Netherlands
58,Spain
59,France
60,France
61,Netherlands
62,Netherlands
63,England
64,Netherlands
65,England
66,France
67,England
68,France
69,Germany
70,Netherlands
71,Croatia
72,Italy
73,Netherlands
74,France
75,Netherlands
76,Germany
77,France
78,France
79,Italy
80,Croatia
81,Germany
82,Italy
83,France
84,England
85,Germany
86,France
87,Netherlands
88,France
89,Germany
90,Germany
91,Netherlands
92,Croatia
93,France
94,Italy
95,Netherlands
96,England
97,France
98,France
99,France
100,Croatia
101,France
102,Spain
103,France
104,France
105,Netherlands
106,Italy
107,Italy
108,France
109,France
110,France
111,England
112,England
113,France
114,France
115,France
116,Croatia
117,Spain
118,Netherlands
119,Italy
120,Germany
121,France
122,Germany
123,France
124,Italy
125,England
126,Netherlands
127,Netherlands
128,Germany
129,France
130,Netherlands
131,Italy
132,Germany
133,Germany
134,Netherlands
135,Germany
136,Italy
137,Croatia
138,France
139,Netherlands
140,Italy
141,France
142,France
143,Spain
144,Spain
145,Spain
146,Netherlands
147,Netherlands
148,Netherlands
149,England
150,France
151,Netherlands
152,England
153,France
154,France
155,England
156,Germany
157,Netherlands
158,Italy
159,Netherlands
160,France
161,Italy
162,France
163,England
164,France
165,England
166,Spain
167,England
168,France
169,Netherlands
170,France
171,Netherlands
172,England
173,France
174,Netherlands
175,Netherlands
176,Germany
177,France
178,France
179,England
180,Netherlands
181,France
182,England
183,Germany
184,Italy
185,Italy
186,France
187,France
188,Netherlands
189,France
190,England
191,England
192,England
193,France
194,Italy
195,France
196,Netherlands
197,France
198,France
199,France
200,Netherlands
201,France
202,France
203,Netherlands
204,Netherlands
205,France
206,Germany
207,Netherlands
208,Netherlands
209,Netherlands
210,England
211,Netherlands
212,Italy
213,Italy
214,Netherlands
215,Italy
216,Italy
217,Germany
218,France
219,France
220,France
221,Netherlands
222,France
223,Germany
224,Netherlands
225,Germany
226,France
227,Italy
228,Germany
229,France
230,Germany
231,France
232,Italy
233,England
234,Spain
235,France
236,Spain
237,Italy
238,Spain
239,France
240,France
241,France
