Round,Date,TeamA,TeamB,Tournament,City,Country,Neutral,IsHomeA,IsHomeB,IsMajorTournament,IsFriendly,IsEuros,Year,Recent3A,Recent3B,Recent5A,Recent5B,Recent10A,Recent10B,RecentGF10A,RecentGA10A,RecentGF10B,RecentGA10B,EloA,EloB,EloDiff,ScoreA,ScoreB,PointsA,PointsB,Simulation
1,2024-06-14,Germany,Scotland,UEFA Euro,Munich,Germany,0,1,0,1,0,1,2024,7,4,10,5,17,9,16,15,14,21,1899.8001546880043,1735.8278599014627,163.97229478654162,2,1,3,0,0
1,2024-06-15,Hungary,Switzerland,UEFA Euro,Cologne,Germany,1,0,0,1,0,1,2024,6,7,12,8,21,15,19,10,16,9,1812.976710374897,1812.9334106176636,0.04329975723339885,1,1,1,1,0
1,2024-06-15,Spain,Croatia,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,7,9,10,13,25,22,35,8,19,6,1970.4046921535014,1915.7250469649669,54.67964518853455,1,1,1,1,0
1,2024-06-15,Italy,Albania,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,7,6,11,7,21,18,18,8,15,7,1931.088950999999,1625.6637562722553,305.4251947277437,1,1,1,1,0
1,2024-06-16,Slovenia,Denmark,UEFA Euro,Stuttgart,Germany,1,0,0,1,0,1,2024,7,9,11,10,23,25,19,7,19,7,1746.300045222022,1862.3618239453883,-116.06177872336639,1,2,0,3,0
1,2024-06-16,Serbia,England,UEFA Euro,Gelsenkirchen,Germany,1,0,0,1,0,1,2024,6,4,7,5,14,18,16,12,16,8,1795.8773953804186,1940.3291628795612,-144.45176749914253,1,2,0,3,0
1,2024-06-16,Poland,Netherlands,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,7,6,13,12,21,24,18,7,27,5,1799.1034885274346,1950.4277953974147,-151.3243068699801,1,2,0,3,0
1,2024-06-17,Austria,France,UEFA Euro,Düsseldorf,Germany,1,0,0,1,0,1,2024,7,7,13,8,23,20,22,8,31,10,1850.680433981841,1984.6895058751925,-134.00907189335157,1,2,0,3,0
1,2024-06-17,Romania,Ukraine,UEFA Euro,Munich,Germany,1,0,0,1,0,1,2024,2,4,6,10,17,18,13,6,16,9,1664.834609618437,1813.1627688511933,-148.3281592327562,1,2,0,3,0
1,2024-06-17,Belgium,Slovakia,UEFA Euro,Frankfurt,Germany,1,0,0,1,0,1,2024,7,7,11,10,24,19,23,5,21,10,1960.752657220444,1683.7467137190013,277.00594350144274,2,1,3,0,0
1,2024-06-18,Turkey,Georgia,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,1,7,2,8,12,14,14,17,22,17,1753.6539895600968,1687.989534307945,65.66445525215181,1,1,1,1,0
1,2024-06-18,Portugal,Czech Republic,UEFA Euro,Leipzig,Germany,1,0,0,1,0,1,2024,6,9,9,15,24,21,34,10,20,10,1933.093339830601,1779.0081057224484,154.0852341081527,2,1,3,0,0
2,2024-06-19,Germany,Hungary,UEFA Euro,Stuttgart,Germany,0,1,0,1,0,1,2024,7,4,13,10,20,19,17,12,18,10,1908.7637755789947,1812.9747163473967,95.789059231598,2,1,3,0,0
2,2024-06-19,Scotland,Switzerland,UEFA Euro,Cologne,Germany,1,0,0,1,0,1,2024,4,5,4,9,6,15,12,23,15,8,1726.8642390104724,1812.935404645164,-86.07116563469162,1,2,0,3,0
2,2024-06-19,Croatia,Albania,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,7,7,11,7,20,18,15,7,15,7,1918.222551690322,1636.9591214184788,281.26343027184316,2,1,3,0,0
2,2024-06-20,Spain,Italy,UEFA Euro,Gelsenkirchen,Germany,1,0,0,1,0,1,2024,7,5,8,11,23,21,29,8,18,8,1967.9071874281462,1919.7935858537755,48.113601574370705,2,1,3,0,0
2,2024-06-20,Slovenia,Serbia,UEFA Euro,Munich,Germany,1,0,0,1,0,1,2024,4,3,8,7,20,13,16,9,16,13,1735.4545660319914,1786.1711105826457,-50.71654455065436,1,2,0,3,0
2,2024-06-20,Denmark,England,UEFA Euro,Frankfurt,Germany,1,0,0,1,0,1,2024,9,6,13,7,25,20,17,8,17,8,1873.207303135419,1950.035447677334,-76.82814454191521,1,2,0,3,0
2,2024-06-21,Poland,Austria,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,6,4,10,10,18,22,17,9,22,9,1789.6626252354856,1840.5629173446873,-50.9002921092017,1,1,1,1,0
2,2024-06-21,Netherlands,France,UEFA Euro,Leipzig,Germany,1,0,0,1,0,1,2024,9,7,12,10,24,20,26,6,31,11,1959.8686586893637,1994.807022512346,-34.93836382298241,1,2,0,3,0
2,2024-06-21,Slovakia,Ukraine,UEFA Euro,Düsseldorf,Germany,1,0,0,1,0,1,2024,6,6,7,10,19,20,22,11,17,9,1678.3469925913341,1822.718826274415,-144.37183368308092,1,2,0,3,0
2,2024-06-22,Belgium,Romania,UEFA Euro,Cologne,Germany,1,0,0,1,0,1,2024,9,2,11,3,24,16,24,6,13,7,1966.1523783481111,1655.2785521952153,310.87382615289584,2,1,3,0,0
2,2024-06-22,Georgia,Czech Republic,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,5,6,8,12,15,20,23,16,20,11,1690.9779960010546,1769.6726746293289,-78.69467862827423,1,1,1,1,0
2,2024-06-22,Turkey,Portugal,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,2,6,2,9,12,24,14,17,27,11,1750.665527866987,1942.4287709237205,-191.76324305673347,1,3,0,3,0
3,2024-06-23,Germany,Switzerland,UEFA Euro,Frankfurt,Germany,0,1,0,1,0,1,2024,9,5,13,11,20,15,17,12,14,9,1920.460999038163,1825.0508252341574,95.41017380400558,2,1,3,0,0
3,2024-06-23,Scotland,Hungary,UEFA Euro,Stuttgart,Germany,1,0,0,1,0,1,2024,1,4,4,7,6,18,12,22,18,11,1714.748818421479,1801.2774928882284,-86.52867446674941,1,1,1,1,0
3,2024-06-24,Albania,Spain,UEFA Euro,Düsseldorf,Germany,1,0,0,1,0,1,2024,4,7,7,11,15,23,14,9,25,9,1631.6685150241956,1981.70553016927,-350.0370151450745,1,3,0,3,0
3,2024-06-24,Croatia,Italy,UEFA Euro,Leipzig,Germany,1,0,0,1,0,1,2024,7,4,13,8,20,18,16,8,17,9,1923.5131580846053,1905.9952431126517,17.517914971953587,1,2,0,3,0
3,2024-06-25,England,Slovenia,UEFA Euro,Cologne,Germany,1,0,0,1,0,1,2024,6,1,10,7,20,17,16,8,14,11,1962.5539430760518,1721.7737002318956,240.7802428441562,2,1,3,0,0
3,2024-06-25,Denmark,Serbia,UEFA Euro,Munich,Germany,1,0,0,1,0,1,2024,6,6,12,9,22,16,17,10,17,12,1860.6888077367012,1799.8519763827414,60.836831353959724,1,1,1,1,0
3,2024-06-25,Netherlands,Austria,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,6,2,9,8,21,20,25,7,20,9,1945.4722281039128,1838.235499671186,107.23672843272675,2,1,3,0,0
3,2024-06-25,France,Poland,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,7,4,13,8,23,19,32,10,18,8,2009.203453097797,1791.9900429089869,217.21341018881003,2,1,3,0,0
3,2024-06-26,Slovakia,Romania,UEFA Euro,Frankfurt,Germany,1,0,0,1,0,1,2024,3,1,7,2,16,13,20,13,12,9,1668.6375959981074,1650.6983948945856,17.939201103521782,1,1,1,1,0
3,2024-06-26,Ukraine,Belgium,UEFA Euro,Stuttgart,Germany,1,0,0,1,0,1,2024,9,9,10,13,23,24,18,8,21,7,1832.4282228676418,1970.7325356487408,-138.30431278109904,1,2,0,3,0
3,2024-06-26,Georgia,Portugal,UEFA Euro,Gelsenkirchen,Germany,1,0,0,1,0,1,2024,5,9,9,12,16,24,23,10,27,10,1694.5412914508613,1950.3972184921354,-255.85592704127407,1,2,0,3,0
3,2024-06-26,Czech Republic,Turkey,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,4,1,10,2,20,12,20,11,13,16,1766.1093791795222,1742.6970802985722,23.412298880949947,1,1,1,1,0
4,2024-06-29,Switzerland,Croatia,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,4,4,8,10,14,20,12,8,17,9,1813.3374105744126,1906.7071112257306,-93.369700651318,1,2,0,3,0
4,2024-06-29,Germany,Denmark,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,9,4,13,10,20,20,16,12,15,10,1932.1744136979078,1857.915454825646,74.2589588722617,2,1,3,0,0
